Time (seconds),Length,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31
38.0625,0.032001495361328125,0.06647113710641861,0.044113460928201675,0.05164037644863129,0.0273470226675272,0.00987041275948286,0.01394481398165226,0.026932956650853157,0.024660605937242508,0.03503386676311493,0.032882194966077805,0.02406366355717182,0.031798556447029114,0.02086511068046093,0.016015930101275444,0.02501097321510315,0.01660526543855667,0.016433250159025192,0.014680694788694382,0.011880356818437576,0.013917069882154465,0.010885735973715782,0.011343744583427906,0.011266305111348629,0.010234731249511242,0.017240537330508232,0.019372545182704926,0.018788933753967285,0.01260045263916254,0.017777858301997185,0.02410183474421501,0.02067829668521881,0.025517642498016357
38.078125,0.032001495361328125,0.06909119337797165,0.12061852216720581,0.050066545605659485,0.027687985450029373,0.02451486513018608,0.015615921467542648,0.01058358233422041,0.012986253015697002,0.022979743778705597,0.01788453944027424,0.019067682325839996,0.01779811829328537,0.024246355518698692,0.014039444737136364,0.011805078014731407,0.012850569561123848,0.01694662682712078,0.009675276465713978,0.006618365179747343,0.007770193740725517,0.009548233821988106,0.0073343305848538876,0.009984785690903664,0.00985034555196762,0.014521507546305656,0.015132507309317589,0.014847256243228912,0.010486855171620846,0.012954246252775192,0.01269838772714138,0.015371778048574924,0.01673903316259384
38.09375,0.032001495361328125,0.06638167798519135,0.12088264524936676,0.049998849630355835,0.014620781876146793,0.014736726880073547,0.018770096823573112,0.014064011164009571,0.01825156807899475,0.016072941944003105,0.014102800749242306,0.015967711806297302,0.015032813884317875,0.01556392852216959,0.011504145339131355,0.014615730382502079,0.005892406217753887,0.01726854033768177,0.011329011991620064,0.020094161853194237,0.014032743871212006,0.012818439863622189,0.014977267012000084,0.0107231130823493,0.01034387107938528,0.024635715410113335,0.03420534357428551,0.03836292028427124,0.011908392421901226,0.020308885723352432,0.027767527848482132,0.03869406878948212,0.038974203169345856
38.109375,0.032001495361328125,0.05489449203014374,0.05717569217085838,0.07149532437324524,0.022044150158762932,0.031921301037073135,0.02000804804265499,0.010978415608406067,0.020809536799788475,0.023636361584067345,0.014611383900046349,0.016726959496736526,0.016678189858794212,0.014546297490596771,0.017170466482639313,0.007631906773895025,0.006552638486027718,0.009193705394864082,0.011134866625070572,0.00875172670930624,0.01191746350377798,0.009909718297421932,0.007713532540947199,0.009607270359992981,0.00935504212975502,0.013721427880227566,0.01622355543076992,0.019303208217024803,0.011109873652458191,0.013445300981402397,0.027714770287275314,0.0344950295984745,0.035206738859415054
38.125,0.032001495361328125,0.07353855669498444,0.16192187368869781,0.051801007241010666,0.027261648327112198,0.014562862925231457,0.013859228231012821,0.005679422989487648,0.008536397479474545,0.026466941460967064,0.007697444874793291,0.010990324430167675,0.010096430778503418,0.005360633600503206,0.009585191495716572,0.007947489619255066,0.0061783273704349995,0.007318946532905102,0.005260198377072811,0.00621197372674942,0.008903918787837029,0.004694274626672268,0.005661523900926113,0.005713204387575388,0.005252371542155743,0.007560212630778551,0.012058102525770664,0.008402117528021336,0.007969368249177933,0.008243228308856487,0.0142518300563097,0.016541363671422005,0.01772129349410534
38.140625,0.032001495361328125,0.058119043707847595,0.05701783671975136,0.05148164555430412,0.015071447938680649,0.02123023010790348,0.024735039100050926,0.004779225215315819,0.005146469920873642,0.007126980926841497,0.009149174205958843,0.011391478590667248,0.006858853157609701,0.005247272551059723,0.006785919889807701,0.006308878306299448,0.005304310470819473,0.0032812110148370266,0.0051668682135641575,0.007063062861561775,0.006302836816757917,0.007582928519695997,0.004770326893776655,0.005789061076939106,0.00646227179095149,0.008883360773324966,0.008473869413137436,0.007879839278757572,0.005926654674112797,0.008227149024605751,0.008540179580450058,0.009509149938821793,0.014457708224654198
38.15625,0.032001495361328125,0.07033564895391464,0.14738242328166962,0.04640570282936096,0.013345204293727875,0.01934296265244484,0.015642210841178894,0.01384899951517582,0.023998143151402473,0.01409198623150587,0.00897728931158781,0.009560749866068363,0.006857314147055149,0.006203799042850733,0.010570371523499489,0.007331608794629574,0.005965168122202158,0.006113164126873016,0.0030107428319752216,0.003726207185536623,0.0037010284140706062,0.0038200279232114553,0.003414635546505451,0.004084696993231773,0.0046243867836892605,0.004740547388792038,0.006669049151241779,0.006833398249000311,0.005249999929219484,0.0071463920176029205,0.006231402512639761,0.008787532337009907,0.011613735929131508
38.171875,0.032001495361328125,0.06900852918624878,0.07073857635259628,0.032915644347667694,0.022092076018452644,0.021003447473049164,0.014077176339924335,0.014405537396669388,0.009398029185831547,0.014945323579013348,0.007130768615752459,0.005443867761641741,0.008521858602762222,0.0118910763412714,0.010442381724715233,0.005657019559293985,0.0043007503263652325,0.005558510776609182,0.0029593980871140957,0.0023695745039731264,0.0027942920569330454,0.0025414093397557735,0.0034458802547305822,0.0033532127272337675,0.0029621317517012358,0.003953617997467518,0.005213949363678694,0.004992874339222908,0.003548398846760392,0.0037551855202764273,0.007351253181695938,0.005237785633653402,0.006062925793230534
38.1875,0.032001495361328125,0.0741591602563858,0.10739664733409882,0.03643142059445381,0.023815754801034927,0.01378492172807455,0.015186987817287445,0.01301672961562872,0.0106009216979146,0.010059963911771774,0.007295751944184303,0.010398848913609982,0.006741044111549854,0.006361117586493492,0.013260625302791595,0.008255169726908207,0.006592785473912954,0.002797620603814721,0.0031155638862401247,0.004698664415627718,0.0034113090950995684,0.0028651398606598377,0.0029987390153110027,0.0035626532044261694,0.0033454899676144123,0.0031129494309425354,0.003573937574401498,0.004395941272377968,0.004807461053133011,0.005085390526801348,0.004205787554383278,0.004314875230193138,0.006063162814825773
38.203125,0.032001495361328125,0.07006771862506866,0.08622464537620544,0.047832466661930084,0.007753278594464064,0.018384063616394997,0.012024770490825176,0.011845368891954422,0.014970456250011921,0.01003824919462204,0.007566246669739485,0.007084842771291733,0.005827342625707388,0.004100605845451355,0.0044100647792220116,0.0034598985221236944,0.004184538498520851,0.0033513116650283337,0.004424544516950846,0.005712375044822693,0.005500301718711853,0.004480679985135794,0.0024012085050344467,0.0031425398774445057,0.0031323200091719627,0.0031198421493172646,0.004604095593094826,0.004308940377086401,0.003500407561659813,0.003737489925697446,0.00482193473726511,0.005411855410784483,0.0045228092931210995
38.21875,0.032001495361328125,0.08313929289579391,0.056085165590047836,0.02578871324658394,0.019915850833058357,0.020478133112192154,0.010974995791912079,0.005751370452344418,0.009696172550320625,0.014301188290119171,0.008388523012399673,0.007302852347493172,0.005605810321867466,0.00439475430175662,0.005902360659092665,0.00650881789624691,0.004678138066083193,0.004507856443524361,0.0031846067868173122,0.002997193718329072,0.003936994355171919,0.003771099727600813,0.0033883799333125353,0.002643544925376773,0.0028928357642143965,0.0026903883554041386,0.002732593100517988,0.0029002055525779724,0.004998212214559317,0.004379562567919493,0.0038576724473387003,0.0033382424153387547,0.0035519623197615147
38.234375,0.032001495361328125,0.06152728945016861,0.028846273198723793,0.03048771247267723,0.016272464767098427,0.022654419764876366,0.021856624633073807,0.011959162540733814,0.013607834465801716,0.015110666863620281,0.011408685706555843,0.008204329758882523,0.0045374054461717606,0.004482103977352381,0.004818968940526247,0.006616589147597551,0.0054173097014427185,0.0038074397016316652,0.004085765685886145,0.004102624487131834,0.00534320343285799,0.003737727412953973,0.003220017533749342,0.0029384789522737265,0.004270481877028942,0.0026710093952715397,0.003278834745287895,0.006266113370656967,0.006560336332768202,0.006502185482531786,0.005790601950138807,0.005397864617407322,0.00466342456638813
38.25,0.032001495361328125,0.0458914078772068,0.045878879725933075,0.015910692512989044,0.020979750901460648,0.01534771267324686,0.009473488666117191,0.00884188711643219,0.008663095533847809,0.014814016409218311,0.01054772362112999,0.00749561283737421,0.0059441933408379555,0.006982567720115185,0.012538060545921326,0.010465149767696857,0.012589269317686558,0.007840690203011036,0.004171954933553934,0.004978521727025509,0.01915586367249489,0.016652747988700867,0.007695433683693409,0.02268553525209427,0.027204109355807304,0.016698822379112244,0.006925506982952356,0.011666052974760532,0.011955393478274345,0.016662713140249252,0.024899818003177643,0.036496590822935104,0.01883596181869507
38.265625,0.032001495361328125,0.05412077531218529,0.08515889942646027,0.03883890435099602,0.018187304958701134,0.029994776472449303,0.015777282416820526,0.0049507650546729565,0.007397403009235859,0.011559649370610714,0.010517289862036705,0.006125130690634251,0.005874037276953459,0.006019913591444492,0.01156188827008009,0.00865730457007885,0.006931426469236612,0.0064550465904176235,0.00673524197191,0.004224187228828669,0.021660080179572105,0.02264288067817688,0.0062274932861328125,0.014365820214152336,0.030930014327168465,0.02375580556690693,0.007101177237927914,0.009635960683226585,0.009620257653295994,0.012718751095235348,0.016084203496575356,0.0161922387778759,0.012483553029596806
38.28125,0.032001495361328125,0.0692484900355339,0.04307105019688606,0.02389455772936344,0.011745700612664223,0.013956334441900253,0.008713675662875175,0.0064257909543812275,0.009631828404963017,0.0179843008518219,0.008953305892646313,0.007401071488857269,0.006019202526658773,0.007555717136710882,0.00759759871289134,0.004810901824384928,0.005715575069189072,0.00629987521097064,0.004890622571110725,0.0058724964037537575,0.012301172129809856,0.010294316336512566,0.004916720557957888,0.010473406873643398,0.021191833540797234,0.02012559026479721,0.006358037702739239,0.007650717161595821,0.006200600415468216,0.010844109579920769,0.017923062667250633,0.00800685677677393,0.008688622154295444
38.296875,0.032001495361328125,0.06945135444402695,0.03232569247484207,0.03416340798139572,0.022381680086255074,0.011981307528913021,0.011548454873263836,0.014985958114266396,0.013125213794410229,0.01527739129960537,0.008139652200043201,0.006358156446367502,0.005294112488627434,0.006205813027918339,0.010845760814845562,0.007118340115994215,0.007666805759072304,0.004263122566044331,0.0059661162085831165,0.005239089950919151,0.00907806120812893,0.008308134973049164,0.003944475203752518,0.00377133721485734,0.008646786212921143,0.011151134967803955,0.005450270138680935,0.007185568567365408,0.007017134223133326,0.008027906529605389,0.014840795658528805,0.010437426157295704,0.007390303071588278
38.3125,0.032001495361328125,0.06115001440048218,0.07177940756082535,0.025659868493676186,0.014914553612470627,0.02102002315223217,0.015091292560100555,0.01751714013516903,0.007469108793884516,0.009380905888974667,0.005034744739532471,0.00751773826777935,0.009929075837135315,0.007421423681080341,0.008382611908018589,0.008167202584445477,0.007753515150398016,0.00445563904941082,0.005202090367674828,0.002820206806063652,0.005147418472915888,0.007138935383409262,0.005109110847115517,0.0042085181921720505,0.00816306471824646,0.013041910715401173,0.01842128112912178,0.021783025935292244,0.016982492059469223,0.01903025433421135,0.020661480724811554,0.028264805674552917,0.05300339683890343
38.328125,0.032001495361328125,0.0638103112578392,0.06335199624300003,0.05217311158776283,0.01593885011970997,0.02639426290988922,0.018716396763920784,0.00732521852478385,0.012778306379914284,0.011655448004603386,0.010227179154753685,0.0041946289129555225,0.004354637581855059,0.004526606760919094,0.004026402253657579,0.004992044065147638,0.004765581339597702,0.006811849772930145,0.005394307430833578,0.0029498895164579153,0.006120272912085056,0.007463074289262295,0.0034445736091583967,0.00462521705776453,0.007644920144230127,0.010048752650618553,0.010477064177393913,0.011157618835568428,0.008394669741392136,0.01121585350483656,0.012250184081494808,0.020437605679035187,0.031194884330034256
38.34375,0.032001495361328125,0.05330340191721916,0.04652257263660431,0.03664611279964447,0.029543612152338028,0.032130155712366104,0.02247481606900692,0.014356771484017372,0.011852554976940155,0.011586751788854599,0.004081135615706444,0.008565236814320087,0.005780290346592665,0.003457403741776943,0.005737503059208393,0.004713139962404966,0.005705262999981642,0.003896028036251664,0.0038492411840707064,0.0037028100341558456,0.004010848701000214,0.004875319544225931,0.004322590306401253,0.004363064654171467,0.007227584253996611,0.008770043030381203,0.011289054527878761,0.008714384399354458,0.008604475297033787,0.006299993954598904,0.009152481332421303,0.01498161256313324,0.01560805831104517
38.359375,0.032001495361328125,0.07258027046918869,0.036259330809116364,0.025937987491488457,0.012520402669906616,0.031307999044656754,0.01730087772011757,0.012230989523231983,0.0098320497199893,0.004787055309861898,0.0020205811597406864,0.0034184374380856752,0.00490390881896019,0.004951951093971729,0.0052861678414046764,0.004467388149350882,0.004353806842118502,0.002894618781283498,0.0026623301673680544,0.004608604591339827,0.0049429358914494514,0.005734777078032494,0.003868834814056754,0.003838553326204419,0.003824302926659584,0.005651685409247875,0.006285304669290781,0.006460968870669603,0.00450572045519948,0.0044942088425159454,0.008793085813522339,0.012598569504916668,0.016058631241321564
38.375,0.032001495361328125,0.05079706385731697,0.07547615468502045,0.04659505560994148,0.015133681707084179,0.03638911992311478,0.012992960400879383,0.00606719171628356,0.010641613975167274,0.005720079410821199,0.0034147545229643583,0.0040545412339270115,0.004347516223788261,0.005354230757802725,0.006734057795256376,0.004734021611511707,0.003970003686845303,0.006491763051599264,0.0046844263561069965,0.002716662595048547,0.003447305876761675,0.003935806918889284,0.0033385988790541887,0.00344469235278666,0.005391224753111601,0.006272273603826761,0.00590129429474473,0.004613826051354408,0.0037569671403616667,0.0058319647796452045,0.006519595626741648,0.009424482472240925,0.009169844910502434
38.390625,0.032001495361328125,0.05030599236488342,0.04105870798230171,0.03788004815578461,0.01395692303776741,0.021181447431445122,0.017319155856966972,0.016664588823914528,0.009057978168129921,0.011888131499290466,0.006629260256886482,0.0058212983421981335,0.007243561092764139,0.009572911076247692,0.008415238931775093,0.006391322705894709,0.004628539551049471,0.00448174774646759,0.00575670413672924,0.0036437802482396364,0.0037159931380301714,0.003996007144451141,0.003538064192980528,0.00396454194560647,0.004236176609992981,0.004019634798169136,0.005421459209173918,0.003932838328182697,0.005207901354879141,0.00413527199998498,0.0047366321086883545,0.004768191371113062,0.00552982185035944
38.40625,0.032001495361328125,0.06065424159169197,0.03710649162530899,0.03886998072266579,0.021244235336780548,0.02754303254187107,0.024206912145018578,0.007620904594659805,0.00908054132014513,0.012518047355115414,0.0059661162085831165,0.004404486622661352,0.004922414198517799,0.006763541139662266,0.0043901256285607815,0.004982673563063145,0.004401994403451681,0.0031551364809274673,0.00571178225800395,0.0045025162398815155,0.004804495256394148,0.004539185669273138,0.003207065397873521,0.0037382023874670267,0.003840809687972069,0.004184538498520851,0.0036033957730978727,0.005829831585288048,0.0044088782742619514,0.004533133469521999,0.004401401150971651,0.004178128205239773,0.004930717870593071
38.421875,0.032001495361328125,0.0533757321536541,0.04385507106781006,0.01912183128297329,0.013778455555438995,0.027823874726891518,0.014790642075240612,0.013508695177733898,0.0065753767266869545,0.005943245254456997,0.005014106631278992,0.007318591699004173,0.005044589750468731,0.004249709192663431,0.007221548352390528,0.0075838747434318066,0.005728850606828928,0.004008236341178417,0.0027500689029693604,0.002686465159058571,0.00427677296102047,0.0032917859498411417,0.003811833681538701,0.0035254727117717266,0.00437505217269063,0.003321252064779401,0.0034468306694179773,0.003944593947380781,0.002980079036206007,0.0035564762074500322,0.003268140833824873,0.004924549721181393,0.004785631783306599
38.4375,0.032001495361328125,0.06036406755447388,0.08253038674592972,0.040879976004362106,0.015074970200657845,0.019139258190989494,0.010851067490875721,0.006342994049191475,0.011407507583498955,0.01062038354575634,0.008215443231165409,0.008619958534836769,0.00712094409391284,0.006404470652341843,0.009408657439053059,0.005531244445592165,0.0035683547612279654,0.003090964164584875,0.003668960416689515,0.0015024575404822826,0.00249610492028296,0.003460611216723919,0.0030448525212705135,0.002973423106595874,0.0033295690082013607,0.0034602549858391285,0.003963473252952099,0.003799007972702384,0.004436768591403961,0.004823002498596907,0.00371718080714345,0.003022746881470084,0.003086566925048828
38.453125,0.032001495361328125,0.03811129927635193,0.03150681406259537,0.028808284550905228,0.014965406619012356,0.030868062749505043,0.016961513087153435,0.010655177757143974,0.009322800673544407,0.010815218091011047,0.01220802590250969,0.005767015740275383,0.0066049834713339806,0.0049838596023619175,0.007397166453301907,0.008061372675001621,0.004985401872545481,0.005316879600286484,0.00482976483181119,0.003783569438382983,0.0030720680952072144,0.003185557434335351,0.0030013537034392357,0.003408101387321949,0.00208125333301723,0.0036157488357275724,0.003744021989405155,0.0032109867315739393,0.004942580126225948,0.0025435497518628836,0.0029094768688082695,0.0037441407330334187,0.003249604720622301
38.46875,0.032001495361328125,0.03608434274792671,0.03266957402229309,0.021013252437114716,0.017938168719410896,0.023993488401174545,0.01895773597061634,0.009872418828308582,0.012941066175699234,0.008492190390825272,0.00667875912040472,0.007449703756719828,0.0035159694962203503,0.005360396578907967,0.0069833965972065926,0.00533122755587101,0.004782072268426418,0.00316404877230525,0.0029252853710204363,0.0031116423197090626,0.005609604064375162,0.004294221755117178,0.0020385454408824444,0.0032386730890721083,0.0032387918327003717,0.003606840269640088,0.00463993102312088,0.0041686310432851315,0.003444098401814699,0.0030971437226980925,0.004293391015380621,0.0047444626688957214,0.004427036736160517
38.484375,0.032001495361328125,0.06722454726696014,0.029376355931162834,0.04099589213728905,0.022067822515964508,0.013944343663752079,0.018051737919449806,0.004949934780597687,0.005003075581043959,0.010421971790492535,0.00900139007717371,0.005976188462227583,0.0034575224854052067,0.005635801237076521,0.007561277598142624,0.0038246591575443745,0.0029741362668573856,0.00349862570874393,0.004720140248537064,0.004655119031667709,0.004094195086508989,0.003750910283997655,0.004327694419771433,0.008125818334519863,0.014863464049994946,0.007013701368123293,0.003060659160837531,0.0025455711875110865,0.0033818455412983894,0.004219320602715015,0.009791087359189987,0.006431476213037968,0.008721357211470604
38.5,0.032001495361328125,0.060600388795137405,0.036876846104860306,0.03514298051595688,0.013113330118358135,0.011226344853639603,0.015641741454601288,0.01604115217924118,0.011489061638712883,0.009664296172559261,0.008011233061552048,0.0050940485671162605,0.0044050803408026695,0.00433991989120841,0.011163867078721523,0.006018728483468294,0.007756590377539396,0.004792987369000912,0.006702323444187641,0.0057248203083872795,0.004885758738964796,0.0030280950013548136,0.0034052501432597637,0.005902479402720928,0.006999259348958731,0.0055576809681952,0.004633167292922735,0.0027363973204046488,0.002691220724955201,0.004114971030503511,0.006594443693757057,0.005344389472156763,0.005824379622936249
